chemical_name,e_number,category,purpose,risk_level,health_concerns,safe_limit,aliases
Monosodium Glutamate,INS 621,Flavor Enhancer,Enhances umami taste,Moderate,Headaches, nausea in sensitive individuals,Not recommended frequently,"MSG,E621,Glutamate"
Sodium Nitrite,INS 250,Preservative,Preserves color and prevents botulism,High,Potential carcinogen formation,Very limited use,"E250,Nitrite"
Sodium Nitrate,INS 251,Preservative,Preserves meat products,High,Kidney damage, potential cancer risk,Very limited,"E251,Nitrate"
BHA,INS 320,Antioxidant,Prevents rancidity,Moderate,Potential carcinogen at high doses,Limited to 200mg/kg,"E320,BHA,Butylated Hydroxyanisole"
BHT,INS 321,Antioxidant,Prevents oxidation,Moderate,Controversial health effects,Limited use,"E321,BHT,Butylated Hydroxytoluene"
TBHQ,INS 319,Antioxidant,Preserves fats,Moderate,Stomach tumors in animals,Limited,"E319,TBHQ,tert-Butylhydroquinone"
Sodium Benzoate,INS 211,Preservative,Prevents microbial growth,Low,Mild allergic reactions,Within limits,"E211,Benzoate"
Potassium Sorbate,INS 202,Preservative,Prevents mold and yeast,Minimal,Generally recognized safe,Within limits,"E202,Sorbate"
Calcium Propionate,INS 282,Preservative,Prevents mold in bread,Minimal,Generally safe,Within limits,"E282,Propionate"
Sodium Metabisulfite,INS 223,Preservative,Prevents browning,Low,Allergic reactions in sensitive people,Limited,"E223,Metabisulfite,Sulfite"
Potassium Metabisulfite,INS 224,Preservative,Antioxidant,Low,Allergic reactions,Limited,"E224,Sulfite"
Sulfur Dioxide,INS 220,Preservative,Antioxidant,Low,Asthma triggers,Limited for asthmatics,"E220,Sulfur Dioxide,Sulfite"
Sodium Sulfite,INS 221,Preservative,Bleaching agent,Low,Allergic reactions,Limited,"E221,Sulfite"
Calcium Sulfite,INS 226,Preservative,Preservative,Low,Allergic reactions,Limited,"E226,Sulfite"
Sodium Thiosulfate,,OtherINS 539,Anti-oxidant,Minimal,Generally safe,Within limits,"E539,Thiosulfate"
Potassium Nitrate,INS 252,Preservative,Preservative and color fixative,High,Kidney issues,Limited,"E252,Nitrate"
Sodium Nitrite,INS 250,Preservative,Preservative and color fixative,High,Cancer risk,Very limited,"E250,Nitrite"
Carrageenan,INS 407,Emulsifier,Thickener and stabilizer,Low,May cause digestive issues,Moderate,"E407,Carrageenan"
Xanthan Gum,INS 415,Emulsifier,Thickener and stabilizer,Minimal,Generally safe,Within limits,"E415,Xanthan Gum"
Guar Gum,INS 412,Emulsifier,Thickener and stabilizer,Minimal,May cause gas,Within limits,"E412,Guar Gum"
Locust Bean Gum,INS 410,Emulsifier,Thickener and stabilizer,Minimal,Generally safe,Within limits,"E410,Locust Bean Gum,Gum Arabic"
Pectin,INS 440,Emulsifier,Fruit-based gelling agent,Minimal,Generally safe,Within limits,"E440,Pectin"
Agar,INS 406,Emulsifier,Plant-based gelling agent,Minimal,Generally safe,Within limits,"E406,Agar,Agar-agar"
Gelatin,INS 441,Emulsifier,Gelling agent from collagen,Minimal,Generally safe,Within limits,"E441,Gelatin"
Lecithin,INS 322,Emulsifier,Emulsifier from soy/sunflower,Minimal,Generally safe,Within limits,"E322,Lecithin"
Mono- and Diglycerides,INS 471,Emulsifier,Emulsifier and stabilizer,Minimal,Generally safe,Within limits,"E471,Monoglycerides"
Polysorbate 80,INS 433,Emulsifier,Emulsifier and solubilizer,Low,May cause digestive issues,Limited,"E433,Polysorbate 80,Tween 80"
Polysorbate 60,INS 435,Emulsifier,Emulsifier,Low,May cause digestive issues,Limited,"E435,Polysorbate 60"
Sodium Stearoyl Lactylate,INS 481,Emulsifier,Emulsifier and stabilizer,Minimal,Generally safe,Within limits,"E481,Stearoyl Lactylate"
Calcium Stearoyl Lactylate,INS 482,Emulsifier,Emulsifier,Minimal,Generally safe,Within limits,"E482,Stearoyl Lactylate"
Citric Acid,INS 330,Acid,Flavor enhancer and preservative,Minimal,Generally safe,Within limits,"E330,Citric Acid"
Lactic Acid,INS 270,Acid,Preservative and flavoring,Minimal,Generally safe,Within limits,"E270,Lactic Acid"
Malic Acid,INS 296,Acid,Flavor enhancer,Minimal,Generally safe,Within limits,"E296,Malic Acid"
Tartaric Acid,INS 334,Acid,Flavor enhancer and stabilizer,Minimal,Generally safe,Within limits,"E334,Tartaric Acid"
Phosphoric Acid,INS 338,Acid,Acidulant and flavor enhancer,Moderate,Bone calcium loss,Limited,"E338,Phosphoric Acid"
Acetic Acid,INS 260,Acid,Preservative and flavoring,Minimal,Generally safe,Within limits,"E260,Acetic Acid,Vinegar"
Ascorbic Acid,INS 300,Antioxidant,Vitamin C,Minimal,Generally safe,Within limits,"E300,Vitamin C,Ascorbate"
Sodium Ascorbate,INS 301,Antioxidant,Vitamin C source,Minimal,Generally safe,Within limits,"E301,Sodium Ascorbate"
Calcium Ascorbate,INS 302,Antioxidant,Vitamin C source,Minimal,Generally safe,Within limits,"E302,Calcium Ascorbate"
Tocopherols,INS 306,Antioxidant,Vitamin E,Minimal,Generally safe,Within limits,"E306,Tocopherols,Vitamin E"
Mixed Tocopherols,INS 307,Antioxidant,Preservative,Minimal,Generally safe,Within limits,"E307,Tocopherols"
Rosemary Extract,INS 392,Antioxidant,Natural preservative,Minimal,Generally safe,Within limits,"E392,Rosemary Extract"
Sodium Erythorbate,INS 316,Antioxidant,Preservative,Minimal,Generally safe,Within limits,"E316,Erythorbate"
Sodium Citrate,INS 331,Acidity Regulator,Buffer and flavor enhancer,Minimal,Generally safe,Within limits,"E331,Sodium Citrate"
Potassium Citrate,INS 332,Acidity Regulator,Buffer,Minimal,Generally safe,Within limits,"E332,Potassium Citrate"
Calcium Citrate,INS 333,Acidity Regulator,Calcium supplement,Minimal,Generally safe,Within limits,"E333,Calcium Citrate"
Trisodium Citrate,INS 331,Acidity Regulator,Buffer and flavor,Minimal,Generally safe,Within limits,"E331,Trisodium Citrate"
Disodium Diphosphate,INS 339,Leavening Agent,Leavening agent,Low,High phosphorus intake concerns,Moderate,"E339,Diphosphate"
Trisodium Phosphate,INS 339,Leavening Agent,Leavening agent,Low,High phosphorus,Moderate,"E339,TSP,Sodium Phosphate"
Monocalcium Phosphate,INS 341,Leavening Agent,Leavening agent,Minimal,Generally safe,Within limits,"E341,Monocalcium Phosphate"
Sodium Acid Pyrophosphate,INS 450,Leavening Agent,Leavening agent,Low,May affect calcium absorption,Moderate,"E450,SAPP"
Sodium Aluminum Phosphate,INS 541,Leavening Agent,Leavening agent,Moderate,Aluminum exposure concerns,Limited,"E541,SALP"
Baking Soda,INS 500,Leavening Agent,Sodium bicarbonate,Minimal,Generally safe,Within limits,"E500,Baking Soda,Sodium Bicarbonate"
Baking Powder,INS 500,Leavening Agent,Rising agent,Minimal,Generally safe,Within limits,"E500,Baking Powder"
Ammonium Bicarbonate,INS 503,Leavening Agent,Rising agent,Minimal,Generally safe,Within limits,"E503,Ammonium Bicarbonate"
Ammonium Carbonate,INS 503,Leavening Agent,Rising agent,Minimal,Generally safe,Within limits,"E503,Ammonium Carbonate"
Calcium Carbonate,INS 170,Color,White pigment,Minimal,Generally safe,Within limits,"E170,Calcium Carbonate"
Titanium Dioxide,INS 171,Color,White coloring,High,Potential DNA damage,Not recommended,"E171,Titanium Dioxide"
Caramel,INS 150,Color,Brown coloring,Low,May contain carcinogens at high heat,Moderate,"E150,Caramel,Caramel Color"
Caramel Color - Class I,INS 150a,Color,Brown coloring,Minimal,Generally safe,Within limits,"E150a,Caramel I"
Caramel Color - Class II,INS 150b,Color,Brown coloring,Low,Generally safe,Within limits,"E150b,Caramel II"
Caramel Color - Class III,INS 150c,Color,Brown coloring,Moderate,May contain 4-MEI,Limited,"E150c,Caramel III"
Caramel Color - Class IV,INS 150d,Color,Brown coloring,Moderate,May contain carcinogens,Limited,"E150d,Caramel IV"
Cochineal,INS 120,Color,Red coloring from insects,Low,Allergic reactions possible,Moderate,"E120,Cochineal,Carmine"
Carmine,INS 120,Color,Natural red dye,Low,Allergic reactions,Moderate,"E120,Carmine,Cochineal"
Annatto,INS 160b,Color,Orange-red coloring,Minimal,Generally safe,Within limits,"E160b,Annatto,Bixin"
Bixin,INS 160b,Color,Orange-red coloring,Minimal,Generally safe,Within limits,"E160b,Bixin"
Paprika Extract,INS 160c,Color,Red-orange coloring,Minimal,Generally safe,Within limits,"E160c,Paprika Extract"
Capsanthin,INS 160c,Color,Red coloring,Minimal,Generally safe,Within limits,"E160c,Capsanthin"
Beta-Carotene,INS 160a,Color,Orange coloring provitamin A,Minimal,Generally safe,Within limits,"E160a,Beta-Carotene"
Apocarotenal,INS 160e,Color,Orange-yellow coloring,Minimal,Generally safe,Within limits,"E160e,Apocarotenal"
Canthaxanthin,INS 161g,Color,Red-orange coloring,Low,Generally safe,Limited,"E161g,Canthaxanthin"
Lutein,INS 161b,Color,Yellow coloring,Minimal,Generally safe,Within limits,"E161b,Lutein"
Zeaxanthin,INS 161h,Color,Yellow coloring,Minimal,Generally safe,Within limits,"E161h,Zeaxanthin"
Beetroot Red,INS 162,Color,Red coloring,Minimal,Generally safe,Within limits,"E162,Beetroot Red,Betanin"
Anthocyanins,INS 163,Color,Red-purple coloring,Minimal,Generally safe,Within limits,"E163,Anthocyanins"
Copper Chlorophyll,INS 141,Color,Green coloring,Low,Generally safe,Moderate,"E141,Copper Chlorophyll"
Chlorophyll,INS 140,Color,Green coloring,Minimal,Generally safe,Within limits,"E140,Chlorophyll"
Iron Oxides,INS 172,Color,Black/red/yellow coloring,Low,May contain heavy metals,Limited,"E172,Iron Oxides"
Titanium Dioxide,INS 171,Color,White coloring,High,DNA damage concerns,Not recommended,"E171,Titanium Dioxide"
Candy,INS 903,Color,Glossy coating,Minimal,Generally safe,Within limits,"E903,Carnauba Wax"
Shellac,INS 904,Color,Glossy coating from lac bugs,Minimal,Generally safe,Within limits,"E904,Shellac,Confectioner's Glaze"
Talc,INS 553,Anti-caking Agent,Flow agent,Moderate,Lung irritation if inhaled,Limited,"E553,Talc"
Silicon Dioxide,INS 551,Anti-caking Agent,Anti-caking agent,Minimal,Generally safe,Within limits,"E551,Silicon Dioxide"
Magnesium Silicate,INS 553,Anti-caking Agent,Anti-caking agent,Minimal,Generally safe,Within limits,"E553,Magnesium Silicate"
Calcium Silicate,INS 552,Anti-caking Agent,Anti-caking agent,Minimal,Generally safe,Within limits,"E552,Calcium Silicate"
Sodium Aluminum Silicate,INS 554,Anti-caking Agent,Anti-caking agent,Moderate,Aluminum exposure,Limited,"E554,Aluminum Silicate"
Potassium Aluminum Silicate,INS 555,Anti-caking Agent,Anti-caking agent,Moderate,Aluminum exposure,Limited,"E555,Potassium Aluminum Silicate"
Calcium Aluminate,INS 556,Anti-caking Agent,Anti-caking agent,Moderate,Aluminum exposure,Limited,"E556,Calcium Aluminate"
Stearic Acid,INS 570,Flour Treatment Agent,Hardening agent,Minimal,Generally safe,Within limits,"E570,Stearic Acid"
L-Cysteine,INS 920,Flour Treatment Agent,Dough conditioner,Minimal,Generally safe,Within limits,"E920,L-Cysteine"
L-Cysteine Hydrochloride,INS 921,Flour Treatment Agent,Dough conditioner,Minimal,Generally safe,Within limits,"E921,L-Cysteine HCl"
Ascorbic Acid,INS 300,Flour Treatment Agent,Dough conditioner,Minimal,Generally safe,Within limits,"E300,Ascorbic Acid"
Azodicarbonamide,INS 927a,Flour Treatment Agent,Bleaching and conditioning,Moderate,Asthma concerns,Limited,"E927a,Azodicarbonamide,ADA"
Benzoyl Peroxide,INS 928,Flour Treatment Agent,Bleaching agent,Moderate,May generate carcinogens,Limited,"E928,Benzoyl Peroxide"
Sodium Stearoyl-2-lactylate,INS 481,Emulsifier,Emulsifier and crumb softener,Minimal,Generally safe,Within limits,"E481,Sodium Stearoyl Lactylate"
Calcium Stearoyl-2-lactylate,INS 482,Emulsifier,Emulsifier,Minimal,Generally safe,Within limits,"E482,Calcium Stearoyl Lactylate"
Diacetyl Tartaric Acid Esters,INS 472e,Emulsifier,Emulsifier and crumb softener,Minimal,Generally safe,Within limits,"E472e,DATEM"
Acetylated Monoglycerides,INS 472a,Emulsifier,Emulsifier,Minimal,Generally safe,Within limits,"E472a,Acetylated Monoglycerides"
Succinylated Monoglycerides,INS 472g,Emulsifier,Emulsifier,Minimal,Generally safe,Within limits,"E472g,Succinylated Monoglycerides"
Polyglycerol Esters,INS 475,Emulsifier,Emulsifier,Low,May affect digestion,Moderate,"E475,Polyglycerol Esters"
Polyglycerol Polyricinoleate,INS 476,Emulsifier,Chocolate emulsifier,Low,May affect digestion,Moderate,"E476,PGPR"
Sorbitan Monostearate,INS 491,Emulsifier,Emulsifier,Low,May cause digestive issues,Moderate,"E491,Sorbitan Monostearate,Span 60"
Sorbitan Tristearate,INS 492,Emulsifier,Emulsifier,Low,May cause digestive issues,Moderate,"E492,Sorbitan Tristearate"
Sorbitan Oleate,INS 494,Emulsifier,Emulsifier,Low,May cause digestive issues,Moderate,"E494,Sorbitan Oleate,Span 80"
Propylene Glycol,INS 1520,Humectant,Moisture retention,Moderate,Neurological effects at high doses,Limited,"E1520,Propylene Glycol,1,2-Propanediol"
Glycerol,INS 422,Humectant,Moisture retention,Minimal,Generally safe,Within limits,"E422,Glycerol,Glycerin,Glycerine"
Sorbitol,INS 420,Humectant,Sweetener and humectant,Low,May cause digestive issues,Moderate,"E420,Sorbitol"
Mannitol,INS 421,Humectant,Sweetener,Low,Digestive issues,Moderate,"E421,Mannitol"
Xylitol,INS 967,Humectant,Sweetener,Minimal,Generally safe,Within limits,"E967,Xylitol"
Maltitol,INS 965,Humectant,Sweetener,Low,Digestive issues,Moderate,"E965,Maltitol"
Isomalt,INS 953,Humectant,Sweetener,Low,Digestive issues,Moderate,"E953,Isomalt"
Lactitol,INS 966,Humectant,Sweetener,Low,Digestive issues,Moderate,"E966,Lactitol"
Polydextrose,INS 1200,Fiber,Dietary fiber,Minimal,Generally safe,Within limits,"E1200,Polydextrose"
Modified Starch,INS 1400,Starch,Thickener and stabilizer,Minimal,Generally safe,Within limits,"E1400,Modified Starch"
Modified Tapioca Starch,INS 1401,Starch,Thickener,Minimal,Generally safe,Within limits,"E1401,Modified Tapioca Starch"
Modified Corn Starch,INS 1402,Starch,Thickener,Minimal,Generally safe,Within limits,"E1402,Modified Corn Starch"
Acetylated Starch,INS 1410,Starch,Thickener,Minimal,Generally safe,Within limits,"E1410,Acetylated Starch"
Hydroxypropyl Starch,INS 1440,Starch,Thickener,Minimal,Generally safe,Within limits,"E1440,Hydroxypropyl Starch"
Phosphated Distarch Phosphate,INS 1413,Starch,Thickener,Low,High phosphorus concerns,Moderate,"E1413,Phosphated Distarch Phosphate"
Oxidized Starch,INS 1404,Starch,Thickener,Minimal,Generally safe,Within limits,"E1404,Oxidized Starch"
Monosodium Glutamate,INS 621,Flavor Enhancer,Enhances umami,Moderate,Headaches in sensitive individuals,Not frequent,"E621,MSG,Glutamate"
Disodium Inosinate,INS 631,Flavor Enhancer,Enhances meat flavor,Low,May contain purines,Moderate,"E631,Disodium Inosinate,IMP"
Disodium Guanylate,INS 627,Flavor Enhancer,Enhances umami,Low,May affect blood pressure,Moderate,"E627,Disodium Guanylate,GMP"
Ribonucleotides,INS 635,Flavor Enhancer,Flavor enhancer complex,Low,May contain purines,Moderate,"E635,Ribonucleotides,I+G"
Monopotassium Glutamate,INS 622,Flavor Enhancer,Flavor enhancer,Low,Similar to MSG,Moderate,"E622,MPG,Monopotassium Glutamate"
Calcium Glutamate,INS 623,Flavor Enhancer,Flavor enhancer,Low,Similar to MSG,Moderate,"E623,Calcium Glutamate"
Ammonium Chloride,INS 510,Flavor Enhancer,Flavoring agent,Low,Generally safe,Within limits,"E510,Ammonium Chloride"
Vanillin,INS 320,Flavor,Artificial vanilla flavor,Low,May cause allergic reactions,Moderate,"E320,Vanillin"
Ethyl Vanillin,INS 320,Flavor,Artificial vanilla flavor,Low,Generally safe,Moderate,"E320,Ethyl Vanillin"
Ethyl Maltol,INS 637,Flavor,Caramel flavoring,Low,Generally safe,Moderate,"E637,Ethyl Maltol"
Maltol,INS 636,Flavor,Caramel flavoring,Minimal,Generally safe,Within limits,"E636,Maltol"
Gamma-Decalactone,INS 1000,Flavor,Peach flavor,Minimal,Generally safe,Within limits,"E1000,Gamma-Decalactone"
Gamma-Nonalactone,INS 1000,Flavor,Coconut flavor,Minimal,Generally safe,Within limits,"E1000,Gamma-Nonalactone"
Delta-Decalactone,INS 1000,Flavor,Fruity flavor,Minimal,Generally safe,Within limits,"E1000,Delta-Decalactone"
Benzaldehyde,INS 1000,Flavor,Almond flavor,Low,May cause allergic reactions,Moderate,"E1000,Benzaldehyde"
Cinnamaldehyde,INS 1000,Flavor,Cinnamon flavor,Minimal,Generally safe,Within limits,"E1000,Cinnamaldehyde"
Eugenol,INS 1000,Flavor,Spice flavor,Low,May cause allergic reactions,Moderate,"E1000,Eugenol"
Linalool,INS 1000,Flavor,Floral flavor,Minimal,Generally safe,Within limits,"E1000,Linalool"
Menthol,INS 1000,Flavor,Mint flavor,Minimal,Generally safe,Within limits,"E1000,Menthol"
Menthyl Lactate,INS 1000,Flavor,Cooling agent,Minimal,Generally safe,Within limits,"E1000,Menthyl Lactate"
Corn Oil,INS 1000,Flavor,Flavoring carrier,Minimal,Generally safe,Within limits,"E1000,Corn Oil"
Sunflower Oil,INS 1000,Flavor,Flavoring carrier,Minimal,Generally safe,Within limits,"E1000,Sunflower Oil"
Rapeseed Oil,INS 1000,Flavor,Flavoring carrier,Minimal,Generally safe,Within limits,"E1000,Rapeseed Oil"
