name,risk,effects,avoid_for,description
Sodium Lauryl Sulfate,High,"Skin irritation, dryness, eye irritation","Dry Skin,Sensitive Skin",Strong cleansing agent - may strip natural oils
Sodium Laureth Sulfate,Moderate,Skin irritation,"Sensitive Skin,Dry Skin",Cleansing agent - may contain impurities
Cocamidopropyl Betaine,Low,Minor allergic reactions,Sensitive Skin,Gentle coconut-derived cleanser
Decyl Glucoside,Low,Generally safe,Sensitive Skin,Plant-based gentle surfactant
Coco Glucoside,Low,Generally safe,None,Mild coconut-derived surfactant
Caprylyl/Capryl Glucoside,Low,Generally safe,None,Very gentle plant-based surfactant
Sodium Cocoyl Isethionate,Low,Generally safe,Sensitive Skin,Very gentle coconut cleanser
Sodium Cocoyl Glutamate,Low,Generally safe,Sensitive Skin,Amino acid-based cleanser
Potassium Cocoyl Glycinate,Low,Generally safe,Sensitive Skin,Mild amino acid surfactant
Sodium Methyl Cocoyl Taurate,Low,Generally safe,Sensitive Skin,Gentle coconut-derived surfactant
Disodium Cocoyl Glutamate,Low,Generally safe,Sensitive Skin,Amino acid-based cleanser
Lauryl Glucoside,Low,Generally safe,None,Plant-based gentle surfactant
Sodium Lauroyl Sarcosinate,Low,Generally safe,Sensitive Skin,Gentle cleansing agent
Sodium Lauroyl Methyl Isethionate,Low,Generally safe,Sensitive Skin,Mild coconut-derived cleanser
Cocamide DEA,Moderate,Potential carcinogen formation,Sensitive Skin,Foaming agent - may form nitrosamines
Cocamide MEA,Low,Generally safe,None,Coconut-derived foam booster
Ammonium Lauryl Sulfate,Moderate,"Skin irritation, dryness","Sensitive Skin,Dry Skin",Cleansing agent
Sodium Stearate,Low,Generally safe,None,Soap-making ingredient
Sodium Oleate,Low,Generally safe,None,Soap ingredient from olive oil
Potassium Cocoate,Low,Generally safe,None,Coconut oil derived soap
Phenoxyethanol,Low,Minor irritation,"Sensitive Skin,Infants",Popular preservative - safe at low concentrations
Methylparaben,Low,Generally safe,Sensitive Skin,Common preservative - paraben family
Ethylparaben,Low,Generally safe,Sensitive Skin,Preservative - paraben family
Propylparaben,Moderate,Hormone concerns,"Pregnancy,Sensitive Skin",Preservative - paraben family
Butylparaben,Moderate,Hormone disruption,"Pregnancy,Sensitive Skin",Preservative - paraben family
Methylisothiazolinone,High,Severe allergic reactions,"All,Sensitive Skin",Strong preservative - common allergen
Chloromethylisothiazolinone,High,Severe allergic reactions,"All,Sensitive Skin",Preservative - strong sensitizer
Imidazolidinyl Urea,Moderate,Allergic reactions,"Sensitive Skin,Allergies",Preservative - formaldehyde releaser
Diazolidinyl Urea,Moderate,Allergic reactions,"Sensitive Skin,Allergies",Preservative - formaldehyde releaser
DMDM Hydantoin,Moderate,Allergic reactions,"Sensitive Skin,Allergies",Preservative - formaldehyde donor
Quaternium-15,High,Allergic reactions,"Sensitive Skin,Allergies",Preservative - common allergen
Benzisothiazolinone,Moderate,Allergic reactions,"Sensitive Skin,Allergies",Preservative - contact allergen
Sodium Benzoate,Low,Generally safe,None,Food-grade preservative
Potassium Sorbate,Low,Generally safe,None,Gentle food preservative
Sorbic Acid,Low,Generally safe,None,Natural preservative
Benzoic Acid,Low,Generally safe,None,Preservative - found naturally in foods
Dehydroacetic Acid,Low,Generally safe,None,Broad-spectrum preservative
Sodium Dehydroacetate,Low,Generally safe,None,Preservative - dehydroacetic acid salt
Caprylyl Glycol,Low,Generally safe,None,Preservative booster - moisturizing
Ethylhexylglycerin,Low,Generally safe,None,Preservative enhancer
Phenethyl Alcohol,Low,Generally safe,None,Preservative - rose fragrance
Chlorphenesin,Low,Generally safe,Sensitive Skin,Preservative - broad spectrum
Methylchloroisothiazolinone,High,Severe allergic reactions,"All,Sensitive Skin",Banned in leave-on EU products
Benzalkonium Chloride,Moderate,Eye irritation,"Sensitive Skin,Eye Products",Preservative - antimicrobial
Cetrimonium Chloride,Low,Generally safe,None,Preservative - conditioning agent
Benzethonium Chloride,Moderate,Skin irritation,Sensitive Skin,Antimicrobial preservative
Propionic Acid,Low,Generally safe,None,Natural preservative
Sodium Propionate,Low,Generally safe,None,Food-grade preservative
Calcium Propionate,Low,Generally safe,None,Bread preservative
Glycerin,Low,Generally safe,None,Excellent humectant - draws moisture
Propylene Glycol,Low,Minor irritation,Sensitive Skin,Humectant - penetration enhancer
Butylene Glycol,Low,Generally safe,None,Humectant - lightweight moisturizer
Pentylene Glycol,Low,Generally safe,None,Humectant - also preservative
Hexylene Glycol,Low,Generally safe,None,Humectant - penetration enhancer
Dipropylene Glycol,Low,Generally safe,None,Humectant - solvent
Sorbitol,Low,Generally safe,None,Sugar-based humectant
Xylitol,Low,Generally safe,None,Sugar alcohol humectant
Mannitol,Low,Generally safe,None,Sugar alcohol humectant
Sodium Hyaluronate,Low,Generally safe,None,Hyaluronic acid - powerful humectant
Hyaluronic Acid,Low,Generally safe,None,Deep hydrating humectant
Hydrolyzed Hyaluronic Acid,Low,Generally safe,None,Small molecule hyaluronic acid
Sodium Acetylated Hyaluronate,Low,Generally safe,None,Modified hyaluronic acid
Sodium PCA,Low,Generally safe,None,Natural moisturizing factor
Urea,Low,Generally safe,None,Natural moisturizing factor - exfoliates
Trehalose,Low,Generally safe,None,Sugar with protective properties
Betaine,Low,Generally safe,None,Amino acid - hydrating
Panthenol,Low,Generally safe,None,Provitamin B5 - moisturizing
Propanediol,Low,Generally safe,None,Bio-based humectant
Shea Butter,Low,Generally safe,None,Rich emollient - nourishing
Cocoa Butter,Low,Generally safe,None,Rich emollient from cocoa
Mango Butter,Low,Generally safe,None,Lightweight emollient
Jojoba Oil,Low,Generally safe,None,Liquid wax - similar to sebum
Argan Oil,Low,Generally safe,None,Nourishing oil - vitamin E rich
Rose Hip Seed Oil,Low,Generally safe,None,Anti-aging oil - brightening
Squalane,Low,Generally safe,None,Lightweight oil - anti-aging
Squalene,Low,Generally safe,None,Skin-identical oil
Coconut Oil,Low,May clog pores,Acne-Prone Skin,Nourishing oil - occlusive
Olive Oil,Low,Generally safe,None,Antioxidant-rich oil
Sweet Almond Oil,Low,Generally safe,Nut Allergies,Gentle oil - vitamin E rich
Avocado Oil,Low,Generally safe,None,"Nourishing oil - vitamins A,D,E"
Grape Seed Oil,Low,Generally safe,None,Lightweight antioxidant oil
Sunflower Oil,Low,Generally safe,None,Vitamin E rich oil
Safflower Oil,Low,Generally safe,None,Lightweight oil
Castor Oil,Low,Generally safe,None,Thickening oil - promotes hair growth
Mineral Oil,Low,Generally safe,None,Petroleum-derived occlusive
Petrolatum,Low,Generally safe,None,Excellent occlusive - protects skin
Lanolin,Low,Allergic reactions,Lanolin Allergies,Wool wax - excellent moisturizer
Beeswax,Low,Generally safe,None,Natural wax - thickener
Carnauba Wax,Low,Generally safe,None,Hard plant wax
Candelilla Wax,Low,Generally safe,None,Plant-derived wax
Cetearyl Alcohol,Low,Generally safe,None,Fatty alcohol - emollient
Cetyl Alcohol,Low,Generally safe,None,Fatty alcohol - thickener
Stearyl Alcohol,Low,Generally safe,None,Fatty alcohol - emollient
Behenyl Alcohol,Low,Generally safe,None,Fatty alcohol - thickener
Isopropyl Myristate,Low,May clog pores,Acne-Prone Skin,Emollient - smooths texture
Isopropyl Palmitate,Low,May clog pores,Acne-Prone Skin,Synthetic ester - emollient
Caprylic/Capric Triglyceride,Low,Generally safe,None,Lightweight emollient from coconut
Dimethicone,Low,May clog pores,Acne-Prone Skin,Common silicone - smoothing
Cyclopentasiloxane,Low,Generally safe,None,Volatile silicone - smooth feel
Cyclohexasiloxane,Low,Generally safe,None,Volatile silicone
Phenyl Trimethicone,Low,Generally safe,None,Silicone - adds shine
Amodimethicone,Low,Generally safe,None,Conditioning silicone for hair
Trimethylsiloxysilicate,Low,Generally safe,None,Film-forming silicone
Dimethiconol,Low,Generally safe,None,Conditioning silicone
PEG-10 Dimethicone,Low,Generally safe,None,Water-soluble silicone
PEG-12 Dimethicone,Low,Generally safe,None,Water-soluble silicone
Polysilicone-11,Low,Generally safe,None,Film-forming silicone
Methicone,Low,Generally safe,None,Amino-modified silicone
Aminopropyl Dimethicone,Low,Generally safe,None,Hair conditioning silicone
Dimethicone Copolyol,Low,Generally safe,None,Water-soluble silicone
Dimethicone/Vinyl Dimethicone Crosspolymer,Low,Generally safe,None,Silicone - powder feel
Titanium Dioxide,Low,Generally safe,None,Physical UV blocker - broad spectrum
Zinc Oxide,Low,Generally safe,None,Physical UV blocker - mineral
Avobenzone,Low,Degrades in sunlight,None,UVA blocker - needs stabilization
Homosalate,Low,Generally safe,None,UVB absorber
Octinoxate,Moderate,Hormone concerns,"Pregnancy,Sensitive Skin",UVB absorber - controversial
Octocrylene,Low,Generally safe,None,UVB absorber - stabilizes avobenzone
Oxybenzone,High,Hormone disruption,"All,Pregnancy",UV absorber - reef toxic
Octyl Methoxycinnamate,Moderate,Hormone concerns,"Sensitive Skin,Pregnancy",UVB absorber
Octyl Salicylate,Low,Generally safe,None,UVB absorber
Tinosorb S,Low,Generally safe,None,Advanced UV absorber
Tinosorb M,Low,Generally safe,None,Broad spectrum UV absorber
Uvinul A Plus,Low,Generally safe,None,UVA absorber
Uvinul T 150,Low,Generally safe,None,UVB absorber
Drometrizole Trisiloxane,Low,Generally safe,None,Broad spectrum UV absorber
Methylene Bis-Benzotriazolyl Tetramethylbutylphenol,Low,Generally safe,None,Mineral-like UV filter
Bis-Ethylhexyloxyphenol Methoxyphenyl Triazine,Low,Generally safe,None,Photostable UV absorber
Ceteareth-20,Low,Generally safe,Sensitive Skin,Common emulsifier
Ceteareth-12,Low,Generally safe,None,Emulsifier - PEG-based
Polysorbate 20,Low,Generally safe,None,Mild emulsifier
Polysorbate 80,Low,Generally safe,None,Emulsifier - solubilizer
Polysorbate 60,Low,Generally safe,None,Emulsifier
Glyceryl Stearate,Low,Generally safe,None,Plant-derived emulsifier
Glyceryl Oleate,Low,Generally safe,None,Emollient emulsifier
PEG-100 Stearate,Low,Generally safe,None,Synthetic emulsifier
PEG-40 Stearate,Low,Generally safe,None,Emulsifier
Steareth-20,Low,Generally safe,None,Emulsifier
PEG-40 Hydrogenated Castor Oil,Low,Generally safe,None,Solubilizer - fragrance oils
PEG-60 Hydrogenated Castor Oil,Low,Generally safe,None,Solubilizer
Sorbitan Stearate,Low,Generally safe,None,Plant-derived emulsifier
Lecithin,Low,Generally safe,None,Natural emulsifier from soy
Acrylates/C10-30 Alkyl Acrylate Crosspolymer,Low,Generally safe,None,Synthetic polymer emulsifier
Carbomer,Low,Generally safe,None,Thickener - forms gel
Sclerotium Gum,Low,Generally safe,None,Natural thickener
Xanthan Gum,Low,Generally safe,None,Natural thickener - versatile
Carrageenan,Low,Generally safe,None,Seaweed thickener
Guar Gum,Low,Generally safe,None,Plant thickener
Hydroxyethylcellulose,Low,Generally safe,None,Plant-derived thickener
Retinol,Moderate,"Skin irritation, sun sensitivity","Pregnancy,Sensitive Skin",Vitamin A - anti-aging powerhouse
Retinyl Palmitate,Low,Generally safe,Pregnancy,Gentle vitamin A derivative
Niacinamide,Low,Generally safe,Sensitive Skin,Vitamin B3 - brightening
Biotin,Low,Generally safe,None,Vitamin B7 - hair/skin/nails
Ascorbic Acid,Low,Generally safe,None,Vitamin C - antioxidant
Sodium Ascorbyl Phosphate,Low,Generally safe,None,Stable vitamin C derivative
Ascorbyl Glucoside,Low,Generally safe,None,Stable vitamin C - brightening
Magnesium Ascorbyl Phosphate,Low,Generally safe,None,Water-soluble vitamin C
Tocopherol,Low,Generally safe,None,Vitamin E - antioxidant
Tocopheryl Acetate,Low,Generally safe,None,Stable vitamin E
Alpha Tocopherol,Low,Generally safe,None,Most active vitamin E form
Beta Carotene,Low,Generally safe,None,Pro-vitamin A - antioxidant
Cholecalciferol,Low,Generally safe,None,Vitamin D3 - skin health
Salicylic Acid,Low,"Dryness, sun sensitivity",Sensitive Skin,BHA exfoliant - unclogs pores
Glycolic Acid,Low,Irritation possible,Sensitive Skin,AHA - surface exfoliation
Lactic Acid,Low,Generally safe,Sensitive Skin,AHA - gentle exfoliant
Mandelic Acid,Low,Generally safe,None,AHA - gentle for dark skin
Tartaric Acid,Low,Generally safe,Sensitive Skin,AHA from grapes
Malic Acid,Low,Generally safe,Sensitive Skin,AHA from apples
Citric Acid,Low,Generally safe,Sensitive Skin,AHA - also pH adjuster
Gluconolactone,Low,Generally safe,None,PHA - gentle exfoliant
Lactobionic Acid,Low,Generally safe,None,PHA - very gentle
Bamboo Powder,Low,Generally safe,None,Physical exfoliant
Walnut Shell Powder,Low,Generally safe,Sensitive Skin,Physical exfoliant
Jojoba Beads,Low,Generally safe,None,Biodegradable exfoliant
Apricot Seed Powder,Low,Generally safe,Sensitive Skin,Natural exfoliant
Benzoyl Peroxide,Moderate,"Dryness, redness","Sensitive Skin,Dry Skin",Acne treatment - kills bacteria
Sulfur,Low,Generally safe,Sensitive Skin,Acne treatment - antibacterial
Azelaic Acid,Low,Generally safe,None,Brightening + acne treatment
Zinc Gluconate,Low,Generally safe,None,Anti-inflammatory - helps acne
Green Tea Extract,Low,Generally safe,None,Anti-inflammatory antioxidant
Tea Tree Oil,Low,Generally safe,Sensitive Skin,Natural antibacterial
Willow Bark Extract,Low,Generally safe,Sensitive Skin,Natural salicylic acid source
Licorice Root Extract,Low,Generally safe,None,Soothing - brightening
Bakuchiol,Low,Generally safe,None,Plant-based retinol alternative
Aloe Barbadensis Leaf Juice,Low,Generally safe,None,Soothing - healing
Chamomilla Recutita Extract,Low,Generally safe,None,Chamomile - soothing
Rosmarinus Officinalis Leaf Extract,Low,Generally safe,None,Rosemary - antioxidant
Salvia Officinalis Extract,Low,Generally safe,None,Sage - antibacterial
Lavandula Angustifolia Extract,Low,Generally safe,None,Lavender - soothing
Calendula Officinalis Extract,Low,Generally safe,None,Marigold - healing
Echinacea Purpurea Extract,Low,Generally safe,None,Immune-boosting herb
Ginkgo Biloba Extract,Low,Generally safe,None,Antioxidant - improves circulation
Panax Ginseng Extract,Low,Generally safe,None,Energizing - anti-aging
Curcuma Longa Root Extract,Low,Generally safe,None,Turmeric - anti-inflammatory
Zingiber Officinale Root Extract,Low,Generally safe,None,Ginger - warming
Vitis Vinifera Seed Extract,Low,Generally safe,None,Grape seed - antioxidant
Cucumis Sativus Fruit Extract,Low,Generally safe,None,Cucumber - soothing
Pomegranate Extract,Low,Generally safe,None,Powerful antioxidant
Blueberry Extract,Low,Generally safe,None,Antioxidant - anti-aging
Sea Buckthorn Oil,Low,Generally safe,None,Healing - vitamin-rich
Neem Oil,Low,Strong odor,Sensitive Skin,Antibacterial - acne treatment
Tamanu Oil,Low,Generally safe,None,Healing - skin regenerator
Centella Asiatica Extract,Low,Generally safe,None,Cica - soothing - healing
Matrixyl,Low,Generally safe,None,Peptide - anti-wrinkle
Matrixyl 3000,Low,Generally safe,None,Peptide complex - anti-aging
Argireline,Low,Generally safe,None,Peptide - Botox-like effect
Copper Peptides,Low,Generally safe,None,Wound healing - anti-aging
GHK-Cu,Low,Generally safe,None,Copper peptide - skin repair
Palmitoyl Tripeptide-1,Low,Generally safe,None,Collagen-boosting peptide
Palmitoyl Tetrapeptide-7,Low,Generally safe,None,Anti-inflammatory peptide
Palmitoyl Hexapeptide-12,Low,Generally safe,None,Elastin-boosting peptide
Acetyl Hexapeptide-3,Low,Generally safe,None,Relaxing peptide
Acetyl Hexapeptide-8,Low,Generally safe,None,Hydrating peptide
Hexapeptide-11,Low,Generally safe,None,Firming peptide
Tripeptide-1,Low,Generally safe,None,Collagen peptide
Tripeptide-5,Low,Generally safe,None,WNT-1 peptide - anti-wrinkle
Hydrolyzed Collagen,Low,Generally safe,None,Firming - plumping
Hydrolyzed Elastin,Low,Generally safe,None,Skin elasticity
Silk Amino Acids,Low,Generally safe,None,Smoothing - conditioning
Keratin,Low,Generally safe,None,Hair protein - strengthening
Hydrolyzed Keratin,Low,Generally safe,None,Penetrating keratin
Ceramide NP,Low,Generally safe,None,Skin barrier - anti-aging
Ceramide AP,Low,Generally safe,None,Barrier support
Ceramide EOP,Low,Generally safe,None,Ceramide 1 - barrier repair
Ceramide NS,Low,Generally safe,None,Natural ceramide
Ceramide EOS,Low,Generally safe,None,Long-chain ceramide
Ceramide AS,Low,Generally safe,None,Barrier lipid
Cholesterol,Low,Generally safe,None,Barrier support
Phytosphingosine,Low,Generally safe,None,Anti-inflammatory - antimicrobial
Sphingosine,Low,Generally safe,None,Barrier support
Kojic Acid,Low,Generally safe,Sensitive Skin,Tyrosinase inhibitor - brightening
Arbutin,Low,Generally safe,None,Gentle brightener
Alpha Arbutin,Low,Generally safe,None,Stable arbutin form
Tranexamic Acid,Low,Generally safe,None,Brightening - reduces melanin
Mulberry Extract,Low,Generally safe,None,Natural tyrosinase inhibitor
Bearberry Extract,Low,Generally safe,None,Arbutin source - brightening
Yeast Extract,Low,Generally safe,None,Brightening - evens tone
Bilberry Extract,Low,Generally safe,None,Anthocyanins - antioxidant
Scutellaria Baicalensis Extract,Low,Generally safe,None,Chinese herb - brightening
Linalool,Low,Potential allergen,Allergies,Floral scent - lavender component
Limonene,Low,Potential allergen,Allergies,Citrus scent component
Citronellol,Low,Potential allergen,Allergies,Rose-like scent
Geraniol,Low,Potential allergen,Allergies,"Floral scent - rose, geranium"
Eugenol,Low,Potential allergen,Allergies,Spicy clove scent
Cinnamal,Low,Potential allergen,Allergies,Cinnamon scent
Cinnamyl Alcohol,Low,Potential allergen,Allergies,Sweet scent - cinnamon
Coumarin,Low,Potential allergen,Allergies,Sweet hay scent
Benzyl Benzoate,Low,Potential allergen,Allergies,Balsamic scent
Benzyl Salicylate,Low,Potential allergen,Allergies,Floral scent
Farnesol,Low,Potential allergen,Allergies,Floral scent component
Hexyl Cinnamal,Low,Potential allergen,Allergies,Jasmine-like scent
Hydroxycitronellal,Low,Potential allergen,Allergies,Sweet floral scent
Alpha-Isomethyl Ionone,Low,Potential allergen,Allergies,Violet scent component
Benzyl Alcohol,Low,Potential allergen,Allergies,Pleasant scent - also preservative
Arginine,Low,Generally safe,None,Amino acid - hair health
Cysteine,Low,Generally safe,None,Amino acid - hair strengthening
Methionine,Low,Generally safe,None,Amino acid - hair health
Niacin,Low,Generally safe,None,Vitamin B3 - scalp health
Pyrithione Zinc,Low,Generally safe,None,Anti-dandruff - antibacterial
Ketoconazole,Low,Generally safe,None,Anti-dandruff - antifungal
Selenium Sulfide,Moderate,Hair loss in some,Sensitive Skin,Anti-dandruff - potent
Coal Tar,High,Cancer risk,"Pregnancy,Sensitive Skin",Anti-dandruff - controversial
Rosemary Extract,Low,Generally safe,None,Stimulating - promotes growth
Nettle Extract,Low,Generally safe,None,Hair tonic - stimulating
Horsetail Extract,Low,Generally safe,None,Silica source - strengthens hair
Saw Palmetto Extract,Low,Generally safe,None,May block DHT - hair loss
Caffeine,Low,Generally safe,None,Stimulates hair follicles
Melatonin,Low,Generally safe,None,May support hair growth
Polyquaternium-10,Low,Generally safe,None,Conditioning polymer
Polyquaternium-7,Low,Generally safe,None,Conditioning polymer
Polyquaternium-6,Low,Generally safe,None,Conditioning polymer
Guar Hydroxypropyltrimonium Chloride,Low,Generally safe,None,Conditioning - adds body
Behentrimonium Chloride,Low,Generally safe,None,Conditioning - detangling
Formaldehyde,High,"Cancer risk, respiratory issues","All,Pregnancy",Preservative - known carcinogen
Triclosan,Moderate,Hormone disruption,Sensitive Skin,Antibacterial - controversial
Phthalates,High,Hormone disruption,"Pregnancy,Sensitive Skin",Plasticizer - endocrine disruptor
Synthetic Fragrances,Moderate,Allergic reactions,"Sensitive Skin,Allergies",Unknown mixture - may contain allergens
Talc,Moderate,Respiratory issues,Lung Issues,Filler - may contain asbestos
BHA,Moderate,Potential carcinogen,Sensitive Skin,Antioxidant - controversial
BHT,Moderate,Controversial effects,Sensitive Skin,Preservative - controversial
Hydroquinone,High,"Cancer risk, skin damage",All,Brightener - banned in many countries
Mercury,High,Neurological damage,"All,Pregnancy",Skin lightener - highly toxic
Lead,High,Neurological damage,All,Contaminant - heavy metal
Arsenic,High,Cancer risk,All,Contaminant - heavy metal
Cadmium,High,Cancer risk,All,Contaminant - heavy metal
Nickel,Moderate,Allergic reactions,Metal Allergies,Common allergen
Chromium,High,Cancer risk,Metal Allergies,Metal allergen - carcinogen
Cobalt,Moderate,Allergic reactions,Metal Allergies,Metal allergen
Kaolin,Low,Generally safe,None,Gentle clay - for all skin
Bentonite,Low,Generally safe,None,Absorbent clay - oily skin
Montmorillonite,Low,Generally safe,None,Volcanic clay - detox
French Green Clay,Low,Generally safe,None,Detoxifying - oily skin
Rhassoul Clay,Low,Generally safe,None,Moroccan clay - gentle
Dead Sea Mud,Low,Generally safe,None,Mineral-rich mud
Sea Salt,Low,Generally safe,Sensitive Skin,Mineral exfoliant
Charcoal,Low,Generally safe,None,Detoxifying - absorbs oil
Bamboo Charcoal,Low,Generally safe,None,Detoxifying agent
Coffee Grounds,Low,Generally safe,Sensitive Skin,Exfoliant - stimulating
Rice Powder,Low,Generally safe,None,Gentle exfoliant - brightening
Oatmeal,Low,Generally safe,None,Soothing - anti-itch
Colloidal Oatmeal,Low,Generally safe,None,Soothing - for sensitive skin
Lactobacillus Ferment,Low,Generally safe,None,Probiotic - skin barrier
Bifida Ferment Lysate,Low,Generally safe,None,Probiotic - anti-aging
Saccharomyces Ferment Filtrate,Low,Generally safe,None,Yeast ferment - brightening
Lactobacillus/Apple Fruit Ferment Filtrate,Low,Generally safe,None,Fermented extract - exfoliating
Galactomyces Ferment Filtrate,Low,Generally safe,None,Pitera-like - hydrating
Rice Ferment Filtrate,Low,Generally safe,None,Fermented rice water - brightening
Iron Oxides,Low,Generally safe,None,Natural mineral colorants
Mica,Low,Generally safe,None,Shimmer - natural mineral
Synthetic Fluorphlogopite,Low,Generally safe,None,Synthetic mica alternative
Tin Oxide,Low,Generally safe,None,Pearlescent pigment
Carmine,Low,Vegetarian concerns,Vegetarians,Natural red - insect-derived
Turmeric,Low,Generally safe,None,Natural yellow - spice-derived
Beet Root Red,Low,Generally safe,None,Natural red - beet-derived
Spirulina,Low,Generally safe,None,Natural blue-green
Chlorophyll,Low,Generally safe,None,Natural green
Ultramarines,Low,Generally safe,None,Synthetic mineral blues
Carbon Black,Low,Generally safe,None,Black pigment
Macadamia Integrifolia Seed Oil,Low,Generally safe,None,Nourishing - similar to human sebum
Prunus Armeniaca Kernel Oil,Low,Generally safe,Nut Allergies,Apricot kernel - gentle
Oenothera Biennis Oil,Low,Generally safe,None,Evening primrose - soothing
Borago Officinalis Seed Oil,Low,Generally safe,None,Borage - high GLA
Prunus Amygdalus Dulcis Oil,Low,Generally safe,Nut Allergies,Sweet almond - nourishing
Corylus Avellana Seed Oil,Low,Generally safe,Nut Allergies,Hazelnut - lightweight
Theobroma Cacao Seed Butter,Low,Generally safe,None,Cocoa butter - rich emollient
Mangifera Indica Seed Butter,Low,Generally safe,None,Mango butter - lightweight
Shorea Stenoptera Seed Butter,Low,Generally safe,None,Sal butter
Astrocaryum Murumuru Seed Butter,Low,Generally safe,None,Murumuru butter
Theobroma Grandiflorum Seed Butter,Low,Generally safe,None,Cupuacu butter
Adansonia Digitata Seed Oil,Low,Generally safe,None,Baobab oil
Mauritia Flexuosa Fruit Oil,Low,Generally safe,None,Buriti oil
Plukenetia Volubilis Seed Oil,Low,Generally safe,None,Sacha inchi oil
Bertholletia Excelsa Seed Oil,Low,Generally safe,Nut Allergies,Brazil nut oil
Sodium Hydroxide,Low,Generally safe,None,pH adjuster - neutralizer
Potassium Hydroxide,Low,Generally safe,None,pH adjuster
Triethanolamine,Low,Generally safe,Sensitive Skin,pH adjuster - emulsifier
Aminomethyl Propanol,Low,Generally safe,None,pH adjuster
Sodium Citrate,Low,Generally safe,None,pH adjuster - chelator
Potassium Citrate,Low,Generally safe,None,pH adjuster
Phosphoric Acid,Low,Generally safe,None,pH adjuster
Acetic Acid,Low,Generally safe,Sensitive Skin,pH adjuster - vinegar
Sodium Acetate,Low,Generally safe,None,pH buffer
Sodium Bicarbonate,Low,Generally safe,None,pH adjuster - baking soda
EDTA,Low,Generally safe,None,Chelating agent
Disodium EDTA,Low,Generally safe,None,Chelator - binds metals
Tetrasodium EDTA,Low,Generally safe,None,Chelator
Phytic Acid,Low,Generally safe,None,Natural chelator from rice
Sodium Phytate,Low,Generally safe,None,Phytic acid salt
Morus Alba Root,Low,Generally safe,None,Whitening - arbutin source
Gardenia Jasminoides Extract,Low,Generally safe,None,Brightening - gardenia
Pearl Powder,Low,Generally safe,None,Brightening -珍珠粉
Alpha-Glucan Oligosaccharide,Low,Generally safe,None,Prebiotic - skin health
Rheum Palmatum Root Extract,Low,Generally safe,None,Brightening - rhubarb
Saxifraga Sarmentosa Extract,Low,Generally safe,None,Whitening - strawberry begonia
Emblica Officinalis Fruit Extract,Low,Generally safe,None,Vitamin C - Indian gooseberry
Arctostaphylos Uva Ursi Leaf Extract,Low,Generally safe,None,Whitening - bearberry
