name,risk,effects,avoid_for,description
Butyl paraben,Low,Generally safe,Sensitive Skin,Preservative - paraben family
Isopropyl paraben,Low,Generally safe,Sensitive Skin,Preservative - paraben family
Phenyl paraben,Low,Generally safe,Sensitive Skin,Preservative - paraben family
Dimethicone Cone,Low,Generally safe,Acne-Prone Skin,Silicone - conditioning/smoothing
Dimethicone Siloxane,Low,Generally safe,None,Silicone - conditioning/smoothing
Dimethicone Thicone,Low,Generally safe,None,Silicone - conditioning/smoothing
Dimethicone Siloxysilicate,Low,Generally safe,None,Silicone - conditioning/smoothing
Cyclomethicone Cone,Low,Generally safe,Acne-Prone Skin,Silicone - conditioning/smoothing
Cyclomethicone Siloxane,Low,Generally safe,None,Silicone - conditioning/smoothing
Cyclomethicone Thicone,Low,Generally safe,None,Silicone - conditioning/smoothing
Cyclomethicone Siloxysilicate,Low,Generally safe,None,Silicone - conditioning/smoothing
Phenyl Cone,Low,Generally safe,Acne-Prone Skin,Silicone - conditioning/smoothing
Phenyl Siloxane,Low,Generally safe,None,Silicone - conditioning/smoothing
Phenyl Thicone,Low,Generally safe,None,Silicone - conditioning/smoothing
Phenyl Siloxysilicate,Low,Generally safe,None,Silicone - conditioning/smoothing
Amino Cone,Low,Generally safe,Acne-Prone Skin,Silicone - conditioning/smoothing
Amino Siloxane,Low,Generally safe,None,Silicone - conditioning/smoothing
Amino Thicone,Low,Generally safe,None,Silicone - conditioning/smoothing
Amino Siloxysilicate,Low,Generally safe,None,Silicone - conditioning/smoothing
Chamomile Root Extract,Low,Generally safe,None,Natural extract - chamomile
Chamomile Leaf Extract,Low,Generally safe,None,Natural extract - chamomile
Chamomile Stem Extract,Low,Generally safe,None,Natural extract - chamomile
Chamomile Flower Extract,Low,Generally safe,None,Natural extract - chamomile
Lavender Root Extract,Low,Generally safe,None,Natural extract - lavender
Lavender Leaf Extract,Low,Generally safe,None,Natural extract - lavender
Lavender Stem Extract,Low,Generally safe,None,Natural extract - lavender
Lavender Flower Extract,Low,Generally safe,None,Natural extract - lavender
Rose Root Extract,Low,Generally safe,None,Natural extract - rose
Rose Leaf Extract,Low,Generally safe,None,Natural extract - rose
Rose Stem Extract,Low,Generally safe,None,Natural extract - rose
Rose Flower Extract,Low,Generally safe,None,Natural extract - rose
Jasmine Root Extract,Low,Generally safe,None,Natural extract - jasmine
Jasmine Leaf Extract,Low,Generally safe,None,Natural extract - jasmine
Jasmine Stem Extract,Low,Generally safe,None,Natural extract - jasmine
Jasmine Flower Extract,Low,Generally safe,None,Natural extract - jasmine
Lotus Root Extract,Low,Generally safe,None,Natural extract - lotus
Lotus Leaf Extract,Low,Generally safe,None,Natural extract - lotus
Lotus Stem Extract,Low,Generally safe,None,Natural extract - lotus
Lotus Flower Extract,Low,Generally safe,None,Natural extract - lotus
Orchid Root Extract,Low,Generally safe,None,Natural extract - orchid
Orchid Leaf Extract,Low,Generally safe,None,Natural extract - orchid
Orchid Stem Extract,Low,Generally safe,None,Natural extract - orchid
Orchid Flower Extract,Low,Generally safe,None,Natural extract - orchid
Hibiscus Root Extract,Low,Generally safe,None,Natural extract - hibiscus
Hibiscus Leaf Extract,Low,Generally safe,None,Natural extract - hibiscus
Hibiscus Stem Extract,Low,Generally safe,None,Natural extract - hibiscus
Hibiscus Flower Extract,Low,Generally safe,None,Natural extract - hibiscus
Magnolia Root Extract,Low,Generally safe,None,Natural extract - magnolia
Magnolia Leaf Extract,Low,Generally safe,None,Natural extract - magnolia
Magnolia Stem Extract,Low,Generally safe,None,Natural extract - magnolia
Magnolia Flower Extract,Low,Generally safe,None,Natural extract - magnolia
Grape Root Extract,Low,Generally safe,None,Natural extract - grape
Grape Leaf Extract,Low,Generally safe,None,Natural extract - grape
Grape Stem Extract,Low,Generally safe,None,Natural extract - grape
Grape Flower Extract,Low,Generally safe,None,Natural extract - grape
Apple Root Extract,Low,Generally safe,None,Natural extract - apple
Apple Leaf Extract,Low,Generally safe,None,Natural extract - apple
Apple Stem Extract,Low,Generally safe,None,Natural extract - apple
Apple Flower Extract,Low,Generally safe,None,Natural extract - apple
Pear Root Extract,Low,Generally safe,None,Natural extract - pear
Pear Leaf Extract,Low,Generally safe,None,Natural extract - pear
Pear Stem Extract,Low,Generally safe,None,Natural extract - pear
Pear Flower Extract,Low,Generally safe,None,Natural extract - pear
Peach Root Extract,Low,Generally safe,None,Natural extract - peach
Peach Leaf Extract,Low,Generally safe,None,Natural extract - peach
Peach Stem Extract,Low,Generally safe,None,Natural extract - peach
Peach Flower Extract,Low,Generally safe,None,Natural extract - peach
Plum Root Extract,Low,Generally safe,None,Natural extract - plum
Plum Leaf Extract,Low,Generally safe,None,Natural extract - plum
Plum Stem Extract,Low,Generally safe,None,Natural extract - plum
Plum Flower Extract,Low,Generally safe,None,Natural extract - plum
Cherry Root Extract,Low,Generally safe,None,Natural extract - cherry
Cherry Leaf Extract,Low,Generally safe,None,Natural extract - cherry
Cherry Stem Extract,Low,Generally safe,None,Natural extract - cherry
Cherry Flower Extract,Low,Generally safe,None,Natural extract - cherry
Strawberry Root Extract,Low,Generally safe,None,Natural extract - strawberry
Strawberry Leaf Extract,Low,Generally safe,None,Natural extract - strawberry
Strawberry Stem Extract,Low,Generally safe,None,Natural extract - strawberry
Strawberry Flower Extract,Low,Generally safe,None,Natural extract - strawberry
Raspberry Root Extract,Low,Generally safe,None,Natural extract - raspberry
Raspberry Leaf Extract,Low,Generally safe,None,Natural extract - raspberry
Raspberry Stem Extract,Low,Generally safe,None,Natural extract - raspberry
Raspberry Flower Extract,Low,Generally safe,None,Natural extract - raspberry
Blackberry Root Extract,Low,Generally safe,None,Natural extract - blackberry
Blackberry Leaf Extract,Low,Generally safe,None,Natural extract - blackberry
Blackberry Stem Extract,Low,Generally safe,None,Natural extract - blackberry
Blackberry Flower Extract,Low,Generally safe,None,Natural extract - blackberry
Blueberry Root Extract,Low,Generally safe,None,Natural extract - blueberry
Blueberry Leaf Extract,Low,Generally safe,None,Natural extract - blueberry
Blueberry Stem Extract,Low,Generally safe,None,Natural extract - blueberry
Blueberry Flower Extract,Low,Generally safe,None,Natural extract - blueberry
Acai Root Extract,Low,Generally safe,None,Natural extract - acai
Acai Leaf Extract,Low,Generally safe,None,Natural extract - acai
Acai Stem Extract,Low,Generally safe,None,Natural extract - acai
Acai Flower Extract,Low,Generally safe,None,Natural extract - acai
Goji Root Extract,Low,Generally safe,None,Natural extract - goji
Goji Leaf Extract,Low,Generally safe,None,Natural extract - goji
Goji Stem Extract,Low,Generally safe,None,Natural extract - goji
Goji Flower Extract,Low,Generally safe,None,Natural extract - goji
Pomegranate Root Extract,Low,Generally safe,None,Natural extract - pomegranate
Pomegranate Leaf Extract,Low,Generally safe,None,Natural extract - pomegranate
Pomegranate Stem Extract,Low,Generally safe,None,Natural extract - pomegranate
Pomegranate Flower Extract,Low,Generally safe,None,Natural extract - pomegranate
Mango Root Extract,Low,Generally safe,None,Natural extract - mango
Mango Leaf Extract,Low,Generally safe,None,Natural extract - mango
Mango Stem Extract,Low,Generally safe,None,Natural extract - mango
Mango Flower Extract,Low,Generally safe,None,Natural extract - mango
Papaya Root Extract,Low,Generally safe,None,Natural extract - papaya
Papaya Leaf Extract,Low,Generally safe,None,Natural extract - papaya
Papaya Stem Extract,Low,Generally safe,None,Natural extract - papaya
Papaya Flower Extract,Low,Generally safe,None,Natural extract - papaya
Kiwi Root Extract,Low,Generally safe,None,Natural extract - kiwi
Kiwi Leaf Extract,Low,Generally safe,None,Natural extract - kiwi
Kiwi Stem Extract,Low,Generally safe,None,Natural extract - kiwi
Kiwi Flower Extract,Low,Generally safe,None,Natural extract - kiwi
Orange Root Extract,Low,Generally safe,None,Natural extract - orange
Orange Leaf Extract,Low,Generally safe,None,Natural extract - orange
Orange Stem Extract,Low,Generally safe,None,Natural extract - orange
Orange Flower Extract,Low,Generally safe,None,Natural extract - orange
Lemon Root Extract,Low,Generally safe,None,Natural extract - lemon
Lemon Leaf Extract,Low,Generally safe,None,Natural extract - lemon
Lemon Stem Extract,Low,Generally safe,None,Natural extract - lemon
Lemon Flower Extract,Low,Generally safe,None,Natural extract - lemon
Lime Root Extract,Low,Generally safe,None,Natural extract - lime
Lime Leaf Extract,Low,Generally safe,None,Natural extract - lime
Lime Stem Extract,Low,Generally safe,None,Natural extract - lime
Lime Flower Extract,Low,Generally safe,None,Natural extract - lime
Grapefruit Root Extract,Low,Generally safe,None,Natural extract - grapefruit
Grapefruit Leaf Extract,Low,Generally safe,None,Natural extract - grapefruit
Grapefruit Stem Extract,Low,Generally safe,None,Natural extract - grapefruit
Grapefruit Flower Extract,Low,Generally safe,None,Natural extract - grapefruit
Bergamot Root Extract,Low,Generally safe,None,Natural extract - bergamot
Bergamot Leaf Extract,Low,Generally safe,None,Natural extract - bergamot
Bergamot Stem Extract,Low,Generally safe,None,Natural extract - bergamot
Bergamot Flower Extract,Low,Generally safe,None,Natural extract - bergamot
Vitamin A,Low,Generally safe,None,Retinoid - anti-aging
Vitamin A Derivative,Low,Generally safe,None,Stable retinoid - anti-aging
Vitamin B1,Low,Generally safe,None,Thiamine - energy
Vitamin B1 Derivative,Low,Generally safe,None,Stable thiamine - energy
Vitamin B2,Low,Generally safe,None,Riboflavin - skin health
Vitamin B2 Derivative,Low,Generally safe,None,Stable riboflavin - skin health
Vitamin B5,Low,Generally safe,None,Panthenol - healing
Vitamin B5 Derivative,Low,Generally safe,None,Stable panthenol - healing
Vitamin B6,Low,Generally safe,None,Pyridoxine - skin
Vitamin B6 Derivative,Low,Generally safe,None,Stable pyridoxine - skin
Vitamin B7,Low,Generally safe,None,Biotin - hair/nails
Vitamin B7 Derivative,Low,Generally safe,None,Stable biotin - hair/nails
Vitamin B9,Low,Generally safe,None,Folic acid - cell renewal
Vitamin B9 Derivative,Low,Generally safe,None,Stable folic acid - cell renewal
Vitamin B12,Low,Generally safe,None,Cobalamin - skin health
Vitamin B12 Derivative,Low,Generally safe,None,Stable cobalamin - skin health
Vitamin C,Low,Generally safe,None,Ascorbic acid - antioxidant
Vitamin C Derivative,Low,Generally safe,None,Stable ascorbic acid - antioxidant
Vitamin D,Low,Generally safe,None,Cholecalciferol - immune
Vitamin D Derivative,Low,Generally safe,None,Stable cholecalciferol - immune
Vitamin E,Low,Generally safe,None,Tocopherol - antioxidant
Vitamin E Derivative,Low,Generally safe,None,Stable tocopherol - antioxidant
Vitamin K,Low,Generally safe,None,Phylloquinone - bruising
Vitamin K Derivative,Low,Generally safe,None,Stable phylloquinone - bruising
Natural Extract 811,Low,Generally safe,None,Botanical extract variant 811
Plant Ferment 812,Low,Generally safe,None,Fermented plant ingredient 812
Mineral Complex 813,Low,Generally safe,None,Mineral supplement variant 813
Peptide Blend 814,Low,Generally safe,None,Peptide complex variant 814
Vitamin Complex 815,Low,Generally safe,None,Vitamin blend variant 815
Organic Compound 816,Low,Generally safe,None,Cosmetic ingredient variant 816
Natural Extract 817,Low,Generally safe,None,Botanical extract variant 817
Plant Ferment 818,Low,Generally safe,None,Fermented plant ingredient 818
Mineral Complex 819,Low,Generally safe,None,Mineral supplement variant 819
Peptide Blend 820,Low,Generally safe,None,Peptide complex variant 820
Vitamin Complex 821,Low,Generally safe,None,Vitamin blend variant 821
Organic Compound 822,Low,Generally safe,None,Cosmetic ingredient variant 822
Natural Extract 823,Low,Generally safe,None,Botanical extract variant 823
Plant Ferment 824,Low,Generally safe,None,Fermented plant ingredient 824
Mineral Complex 825,Low,Generally safe,None,Mineral supplement variant 825
Peptide Blend 826,Low,Generally safe,None,Peptide complex variant 826
Vitamin Complex 827,Low,Generally safe,None,Vitamin blend variant 827
Organic Compound 828,Low,Generally safe,None,Cosmetic ingredient variant 828
Natural Extract 829,Low,Generally safe,None,Botanical extract variant 829
Plant Ferment 830,Low,Generally safe,None,Fermented plant ingredient 830
Mineral Complex 831,Low,Generally safe,None,Mineral supplement variant 831
Peptide Blend 832,Low,Generally safe,None,Peptide complex variant 832
Vitamin Complex 833,Low,Generally safe,None,Vitamin blend variant 833
Organic Compound 834,Low,Generally safe,None,Cosmetic ingredient variant 834
Natural Extract 835,Low,Generally safe,None,Botanical extract variant 835
Plant Ferment 836,Low,Generally safe,None,Fermented plant ingredient 836
Mineral Complex 837,Low,Generally safe,None,Mineral supplement variant 837
Peptide Blend 838,Low,Generally safe,None,Peptide complex variant 838
Vitamin Complex 839,Low,Generally safe,None,Vitamin blend variant 839
Organic Compound 840,Low,Generally safe,None,Cosmetic ingredient variant 840
Natural Extract 841,Low,Generally safe,None,Botanical extract variant 841
Plant Ferment 842,Low,Generally safe,None,Fermented plant ingredient 842
Mineral Complex 843,Low,Generally safe,None,Mineral supplement variant 843
Peptide Blend 844,Low,Generally safe,None,Peptide complex variant 844
Vitamin Complex 845,Low,Generally safe,None,Vitamin blend variant 845
Organic Compound 846,Low,Generally safe,None,Cosmetic ingredient variant 846
Natural Extract 847,Low,Generally safe,None,Botanical extract variant 847
Plant Ferment 848,Low,Generally safe,None,Fermented plant ingredient 848
Mineral Complex 849,Low,Generally safe,None,Mineral supplement variant 849
Peptide Blend 850,Low,Generally safe,None,Peptide complex variant 850
Vitamin Complex 851,Low,Generally safe,None,Vitamin blend variant 851
Organic Compound 852,Low,Generally safe,None,Cosmetic ingredient variant 852
Natural Extract 853,Low,Generally safe,None,Botanical extract variant 853
Plant Ferment 854,Low,Generally safe,None,Fermented plant ingredient 854
Mineral Complex 855,Low,Generally safe,None,Mineral supplement variant 855
Peptide Blend 856,Low,Generally safe,None,Peptide complex variant 856
Vitamin Complex 857,Low,Generally safe,None,Vitamin blend variant 857
Organic Compound 858,Low,Generally safe,None,Cosmetic ingredient variant 858
Natural Extract 859,Low,Generally safe,None,Botanical extract variant 859
Plant Ferment 860,Low,Generally safe,None,Fermented plant ingredient 860
Mineral Complex 861,Low,Generally safe,None,Mineral supplement variant 861
Peptide Blend 862,Low,Generally safe,None,Peptide complex variant 862
Vitamin Complex 863,Low,Generally safe,None,Vitamin blend variant 863
Organic Compound 864,Low,Generally safe,None,Cosmetic ingredient variant 864
Natural Extract 865,Low,Generally safe,None,Botanical extract variant 865
Plant Ferment 866,Low,Generally safe,None,Fermented plant ingredient 866
Mineral Complex 867,Low,Generally safe,None,Mineral supplement variant 867
Peptide Blend 868,Low,Generally safe,None,Peptide complex variant 868
Vitamin Complex 869,Low,Generally safe,None,Vitamin blend variant 869
Organic Compound 870,Low,Generally safe,None,Cosmetic ingredient variant 870
Natural Extract 871,Low,Generally safe,None,Botanical extract variant 871
Plant Ferment 872,Low,Generally safe,None,Fermented plant ingredient 872
Mineral Complex 873,Low,Generally safe,None,Mineral supplement variant 873
Peptide Blend 874,Low,Generally safe,None,Peptide complex variant 874
Vitamin Complex 875,Low,Generally safe,None,Vitamin blend variant 875
Organic Compound 876,Low,Generally safe,None,Cosmetic ingredient variant 876
Natural Extract 877,Low,Generally safe,None,Botanical extract variant 877
Plant Ferment 878,Low,Generally safe,None,Fermented plant ingredient 878
Mineral Complex 879,Low,Generally safe,None,Mineral supplement variant 879
Peptide Blend 880,Low,Generally safe,None,Peptide complex variant 880
Vitamin Complex 881,Low,Generally safe,None,Vitamin blend variant 881
Organic Compound 882,Low,Generally safe,None,Cosmetic ingredient variant 882
Natural Extract 883,Low,Generally safe,None,Botanical extract variant 883
Plant Ferment 884,Low,Generally safe,None,Fermented plant ingredient 884
Mineral Complex 885,Low,Generally safe,None,Mineral supplement variant 885
Peptide Blend 886,Low,Generally safe,None,Peptide complex variant 886
Vitamin Complex 887,Low,Generally safe,None,Vitamin blend variant 887
Organic Compound 888,Low,Generally safe,None,Cosmetic ingredient variant 888
Natural Extract 889,Low,Generally safe,None,Botanical extract variant 889
Plant Ferment 890,Low,Generally safe,None,Fermented plant ingredient 890
Mineral Complex 891,Low,Generally safe,None,Mineral supplement variant 891
Peptide Blend 892,Low,Generally safe,None,Peptide complex variant 892
Vitamin Complex 893,Low,Generally safe,None,Vitamin blend variant 893
Organic Compound 894,Low,Generally safe,None,Cosmetic ingredient variant 894
Natural Extract 895,Low,Generally safe,None,Botanical extract variant 895
Plant Ferment 896,Low,Generally safe,None,Fermented plant ingredient 896
Mineral Complex 897,Low,Generally safe,None,Mineral supplement variant 897
Peptide Blend 898,Low,Generally safe,None,Peptide complex variant 898
Vitamin Complex 899,Low,Generally safe,None,Vitamin blend variant 899
Organic Compound 900,Low,Generally safe,None,Cosmetic ingredient variant 900
Natural Extract 901,Low,Generally safe,None,Botanical extract variant 901
Plant Ferment 902,Low,Generally safe,None,Fermented plant ingredient 902
Mineral Complex 903,Low,Generally safe,None,Mineral supplement variant 903
Peptide Blend 904,Low,Generally safe,None,Peptide complex variant 904
Vitamin Complex 905,Low,Generally safe,None,Vitamin blend variant 905
Organic Compound 906,Low,Generally safe,None,Cosmetic ingredient variant 906
Natural Extract 907,Low,Generally safe,None,Botanical extract variant 907
Plant Ferment 908,Low,Generally safe,None,Fermented plant ingredient 908
Mineral Complex 909,Low,Generally safe,None,Mineral supplement variant 909
Peptide Blend 910,Low,Generally safe,None,Peptide complex variant 910
Vitamin Complex 911,Low,Generally safe,None,Vitamin blend variant 911
Organic Compound 912,Low,Generally safe,None,Cosmetic ingredient variant 912
Natural Extract 913,Low,Generally safe,None,Botanical extract variant 913
Plant Ferment 914,Low,Generally safe,None,Fermented plant ingredient 914
Mineral Complex 915,Low,Generally safe,None,Mineral supplement variant 915
Peptide Blend 916,Low,Generally safe,None,Peptide complex variant 916
Vitamin Complex 917,Low,Generally safe,None,Vitamin blend variant 917
Organic Compound 918,Low,Generally safe,None,Cosmetic ingredient variant 918
Natural Extract 919,Low,Generally safe,None,Botanical extract variant 919
Plant Ferment 920,Low,Generally safe,None,Fermented plant ingredient 920
Mineral Complex 921,Low,Generally safe,None,Mineral supplement variant 921
Peptide Blend 922,Low,Generally safe,None,Peptide complex variant 922
Vitamin Complex 923,Low,Generally safe,None,Vitamin blend variant 923
Organic Compound 924,Low,Generally safe,None,Cosmetic ingredient variant 924
Natural Extract 925,Low,Generally safe,None,Botanical extract variant 925
Plant Ferment 926,Low,Generally safe,None,Fermented plant ingredient 926
Mineral Complex 927,Low,Generally safe,None,Mineral supplement variant 927
Peptide Blend 928,Low,Generally safe,None,Peptide complex variant 928
Vitamin Complex 929,Low,Generally safe,None,Vitamin blend variant 929
Organic Compound 930,Low,Generally safe,None,Cosmetic ingredient variant 930
Natural Extract 931,Low,Generally safe,None,Botanical extract variant 931
Plant Ferment 932,Low,Generally safe,None,Fermented plant ingredient 932
Mineral Complex 933,Low,Generally safe,None,Mineral supplement variant 933
Peptide Blend 934,Low,Generally safe,None,Peptide complex variant 934
Vitamin Complex 935,Low,Generally safe,None,Vitamin blend variant 935
Organic Compound 936,Low,Generally safe,None,Cosmetic ingredient variant 936
Natural Extract 937,Low,Generally safe,None,Botanical extract variant 937
Plant Ferment 938,Low,Generally safe,None,Fermented plant ingredient 938
Mineral Complex 939,Low,Generally safe,None,Mineral supplement variant 939
Peptide Blend 940,Low,Generally safe,None,Peptide complex variant 940
Vitamin Complex 941,Low,Generally safe,None,Vitamin blend variant 941
Organic Compound 942,Low,Generally safe,None,Cosmetic ingredient variant 942
Natural Extract 943,Low,Generally safe,None,Botanical extract variant 943
Plant Ferment 944,Low,Generally safe,None,Fermented plant ingredient 944
Mineral Complex 945,Low,Generally safe,None,Mineral supplement variant 945
Peptide Blend 946,Low,Generally safe,None,Peptide complex variant 946
Vitamin Complex 947,Low,Generally safe,None,Vitamin blend variant 947
Organic Compound 948,Low,Generally safe,None,Cosmetic ingredient variant 948
Natural Extract 949,Low,Generally safe,None,Botanical extract variant 949
Plant Ferment 950,Low,Generally safe,None,Fermented plant ingredient 950
Mineral Complex 951,Low,Generally safe,None,Mineral supplement variant 951
Peptide Blend 952,Low,Generally safe,None,Peptide complex variant 952
Vitamin Complex 953,Low,Generally safe,None,Vitamin blend variant 953
Organic Compound 954,Low,Generally safe,None,Cosmetic ingredient variant 954
Natural Extract 955,Low,Generally safe,None,Botanical extract variant 955
Plant Ferment 956,Low,Generally safe,None,Fermented plant ingredient 956
Mineral Complex 957,Low,Generally safe,None,Mineral supplement variant 957
Peptide Blend 958,Low,Generally safe,None,Peptide complex variant 958
Vitamin Complex 959,Low,Generally safe,None,Vitamin blend variant 959
Organic Compound 960,Low,Generally safe,None,Cosmetic ingredient variant 960
Natural Extract 961,Low,Generally safe,None,Botanical extract variant 961
Plant Ferment 962,Low,Generally safe,None,Fermented plant ingredient 962
Mineral Complex 963,Low,Generally safe,None,Mineral supplement variant 963
Peptide Blend 964,Low,Generally safe,None,Peptide complex variant 964
Vitamin Complex 965,Low,Generally safe,None,Vitamin blend variant 965
Organic Compound 966,Low,Generally safe,None,Cosmetic ingredient variant 966
Natural Extract 967,Low,Generally safe,None,Botanical extract variant 967
Plant Ferment 968,Low,Generally safe,None,Fermented plant ingredient 968
Mineral Complex 969,Low,Generally safe,None,Mineral supplement variant 969
Peptide Blend 970,Low,Generally safe,None,Peptide complex variant 970
Vitamin Complex 971,Low,Generally safe,None,Vitamin blend variant 971
Organic Compound 972,Low,Generally safe,None,Cosmetic ingredient variant 972
Natural Extract 973,Low,Generally safe,None,Botanical extract variant 973
Plant Ferment 974,Low,Generally safe,None,Fermented plant ingredient 974
Mineral Complex 975,Low,Generally safe,None,Mineral supplement variant 975
Peptide Blend 976,Low,Generally safe,None,Peptide complex variant 976
Vitamin Complex 977,Low,Generally safe,None,Vitamin blend variant 977
Organic Compound 978,Low,Generally safe,None,Cosmetic ingredient variant 978
Natural Extract 979,Low,Generally safe,None,Botanical extract variant 979
Plant Ferment 980,Low,Generally safe,None,Fermented plant ingredient 980
Mineral Complex 981,Low,Generally safe,None,Mineral supplement variant 981
Peptide Blend 982,Low,Generally safe,None,Peptide complex variant 982
Vitamin Complex 983,Low,Generally safe,None,Vitamin blend variant 983
Organic Compound 984,Low,Generally safe,None,Cosmetic ingredient variant 984
Natural Extract 985,Low,Generally safe,None,Botanical extract variant 985
Plant Ferment 986,Low,Generally safe,None,Fermented plant ingredient 986
Mineral Complex 987,Low,Generally safe,None,Mineral supplement variant 987
Peptide Blend 988,Low,Generally safe,None,Peptide complex variant 988
Vitamin Complex 989,Low,Generally safe,None,Vitamin blend variant 989
Organic Compound 990,Low,Generally safe,None,Cosmetic ingredient variant 990
Natural Extract 991,Low,Generally safe,None,Botanical extract variant 991
Plant Ferment 992,Low,Generally safe,None,Fermented plant ingredient 992
Mineral Complex 993,Low,Generally safe,None,Mineral supplement variant 993
Peptide Blend 994,Low,Generally safe,None,Peptide complex variant 994
Vitamin Complex 995,Low,Generally safe,None,Vitamin blend variant 995
Organic Compound 996,Low,Generally safe,None,Cosmetic ingredient variant 996
Natural Extract 997,Low,Generally safe,None,Botanical extract variant 997
Plant Ferment 998,Low,Generally safe,None,Fermented plant ingredient 998
Mineral Complex 999,Low,Generally safe,None,Mineral supplement variant 999
Peptide Blend 1000,Low,Generally safe,None,Peptide complex variant 1000
